ENGLISH,ARMENIAN,CATEGORY
 lock, կողպեք,THINGS - TANGIBLE
 map, քարտեզ,THINGS - TANGIBLE
 match, լուցկի,THINGS - TANGIBLE
 monkey, կապիկ,THINGS - TANGIBLE
 moon, լուսին,THINGS - TANGIBLE
 mouth, բերան,THINGS - TANGIBLE
 muscle, մկան,THINGS - TANGIBLE
 nail, մեխ,THINGS - TANGIBLE
 neck, վիզ,THINGS - TANGIBLE
 needle, ասեղ,THINGS - TANGIBLE
 nerve, նյարդ,THINGS - TANGIBLE
 net, ցանց,THINGS - TANGIBLE
 nose, քիթ,THINGS - TANGIBLE
 nuts, չարազ,THINGS - TANGIBLE
 office, գրասենյակ,THINGS - TANGIBLE
 orange, նարինջ,THINGS - TANGIBLE
 oven, վառարան,THINGS - TANGIBLE
 parcel, ծանրոց,THINGS - TANGIBLE
 pen, գրիչ,THINGS - TANGIBLE
 pencil, մատիտ,THINGS - TANGIBLE
 picture, նկար,THINGS - TANGIBLE
 pig, խոզ,THINGS - TANGIBLE
 pipe, խողովակ,THINGS - TANGIBLE
 plane, ինքնաթիռ,THINGS - TANGIBLE
 plate, ափսե,THINGS - TANGIBLE
 pocket, գրպան,THINGS - TANGIBLE
 pot, կաթսա,THINGS - TANGIBLE
 potato, կարտոֆիլ,THINGS - TANGIBLE
 prison, բանտ,THINGS - TANGIBLE
 pump, պոմպ,THINGS - TANGIBLE
 rail, ռելս,THINGS - TANGIBLE
 rat, առնետ,THINGS - TANGIBLE
 receipt,ստացական,THINGS - TANGIBLE
 ring, մատանի,THINGS - TANGIBLE
 rod, ձող,THINGS - TANGIBLE
 roof, տանիք,THINGS - TANGIBLE
 root, արմատ,THINGS - TANGIBLE
 sail, առագաստ,THINGS - TANGIBLE
 school, դպրոց,THINGS - TANGIBLE
 scissors, մկրատ,THINGS - TANGIBLE
 screw, պտուտակ ,THINGS - TANGIBLE
 seed, սերմ,THINGS - TANGIBLE
 sheep, ոչխար,THINGS - TANGIBLE
 shelf, դարակ,THINGS - TANGIBLE
 ship, նավ,THINGS - TANGIBLE
 shirt, վերնաշապիկ,THINGS - TANGIBLE
 shoe, կոշիկ,THINGS - TANGIBLE
 skin, մաշկ,THINGS - TANGIBLE
 skirt, շրջազգեստ,THINGS - TANGIBLE
 snake, օձ,THINGS - TANGIBLE
 sock, գուլպա,THINGS - TANGIBLE
 spade/shovel, բահ,THINGS - TANGIBLE
 sponge, սպունգ,THINGS - TANGIBLE
 spoon, գդալ,THINGS - TANGIBLE
 spring, գարուն,THINGS - TANGIBLE
 square, հրապարակ,THINGS - TANGIBLE
 stamp, դրոշմանիշ,THINGS - TANGIBLE
 star, աստղ,THINGS - TANGIBLE
 station, կայարան,THINGS - TANGIBLE
 stem, ցողուն,THINGS - TANGIBLE
 stick, փայտ,THINGS - TANGIBLE
 stocking, գուլպա,THINGS - TANGIBLE
 stomach, ստամոքս,THINGS - TANGIBLE
 store, խանութ,THINGS - TANGIBLE
 street, փողոց,THINGS - TANGIBLE
 sun, արև ,THINGS - TANGIBLE
 table, սեղան,THINGS - TANGIBLE
 tail, պոչ,THINGS - TANGIBLE
 thread, թել,THINGS - TANGIBLE
 throat, կոկորդ,THINGS - TANGIBLE
 ticket, տոմս,THINGS - TANGIBLE
 tongue, լեզու,THINGS - TANGIBLE
 tooth, ատամ,THINGS - TANGIBLE
 town, քաղաք,THINGS - TANGIBLE
 train, գնացք,THINGS - TANGIBLE
 tray, սկուտեղ,THINGS - TANGIBLE
 tree, ծառ,THINGS - TANGIBLE
 trousers, տաբատ,THINGS - TANGIBLE
 umbrella, հովանոց,THINGS - TANGIBLE
 wall, պատ,THINGS - TANGIBLE
 watch, ժամացույց,THINGS - TANGIBLE
 wheel, անիվ,THINGS - TANGIBLE
 whip, մտրակ,THINGS - TANGIBLE
 whistle, սուլիչ,THINGS - TANGIBLE
 window, պատուհան,THINGS - TANGIBLE
 wing, թև,THINGS - TANGIBLE
 wire, լար,THINGS - TANGIBLE
 worm, որդ,THINGS - TANGIBLE
 account,հաշիվ,THINGS - ABSTRACT
 act, գործողություն,THINGS - ABSTRACT
 addition, լրացում,THINGS - ABSTRACT
 adjustment, ճշգրտում,THINGS - ABSTRACT
 advertisement, գովազդ,THINGS - ABSTRACT
 agreement, համաձայնություն,THINGS - ABSTRACT
 air, օդ,THINGS - ABSTRACT
 amount, գումար,THINGS - ABSTRACT
 amusement, զվարճանք,THINGS - ABSTRACT
 animal, կենդանի,THINGS - ABSTRACT
 answer, պատասխան,THINGS - ABSTRACT
 apparatus, ապարատ,THINGS - ABSTRACT
 approval, հաստատում,THINGS - ABSTRACT
 argument, փաստարկ,THINGS - ABSTRACT
 art, արվեստ,THINGS - ABSTRACT
 attack, հարձակում,THINGS - ABSTRACT
 attempt, փորձ,THINGS - ABSTRACT
 attention, ուշադրություն,THINGS - ABSTRACT
 attractive, գրավիչ,THINGS - ABSTRACT
 authority, հեղինակություն,THINGS - ABSTRACT
 back, մեջք,THINGS - ABSTRACT
 balance, հավասարակշռություն,THINGS - ABSTRACT
 base, հիմք,THINGS - ABSTRACT
 behavior, վարք,THINGS - ABSTRACT
 belief, հավատ,THINGS - ABSTRACT
 birth, ծնունդ,THINGS - ABSTRACT
 bit, կտոր,THINGS - ABSTRACT
 bite, կծել,THINGS - ABSTRACT
 blood, արյուն,THINGS - ABSTRACT
 blow, հարված,THINGS - ABSTRACT
 body, մարմին,THINGS - ABSTRACT
 bread, հաց,THINGS - ABSTRACT
 breath, շունչ,THINGS - ABSTRACT
 brother, եղբայր,THINGS - ABSTRACT
 building, շենք,THINGS - ABSTRACT
 burn, այրել,THINGS - ABSTRACT
 burst, պայթել,THINGS - ABSTRACT
 business, բիզնես,THINGS - ABSTRACT
 butter, կարագ,THINGS - ABSTRACT
 canvas, կտավ,THINGS - ABSTRACT
 care, խնամք,THINGS - ABSTRACT
 cause, պատճառ,THINGS - ABSTRACT
 chalk, կավիճ,THINGS - ABSTRACT
 chance, հնարավորություն,THINGS - ABSTRACT
 change, փոփոխություն,THINGS - ABSTRACT
 cloth, կտոր,THINGS - ABSTRACT
 coal, ածուխ,THINGS - ABSTRACT
 color, գույն,THINGS - ABSTRACT
 comfort, հարմարավետություն,THINGS - ABSTRACT
 committee, կոմիտե,THINGS - ABSTRACT
 company, ընկերություն,THINGS - ABSTRACT
 comparison, համեմատություն,THINGS - ABSTRACT
 competition, մրցակցություն,THINGS - ABSTRACT
 condition, վիճակ,THINGS - ABSTRACT
 connection, կապ,THINGS - ABSTRACT
 control, հսկողություն,THINGS - ABSTRACT
 cook, խոհարար,THINGS - ABSTRACT
 copper, պղինձ,THINGS - ABSTRACT
 copy, պատճեն,THINGS - ABSTRACT
 cork, խցան,THINGS - ABSTRACT
 cotton, բամբակ,THINGS - ABSTRACT
 cough, հազ,THINGS - ABSTRACT
 country, երկիր,THINGS - ABSTRACT
 cover, ծածկ,THINGS - ABSTRACT
 crack, ճաք,THINGS - ABSTRACT
 credit, վարկ,THINGS - ABSTRACT
 crime, հանցագործություն,THINGS - ABSTRACT
 crush, ջախջախել,THINGS - ABSTRACT
 cry, լացել,THINGS - ABSTRACT
 current(electrical), հոսանք,THINGS - ABSTRACT
 curve, կոր,THINGS - ABSTRACT
 damage, վնաս,THINGS - ABSTRACT
 danger, վտանգ,THINGS - ABSTRACT
 daughter, դուստր,THINGS - ABSTRACT
 day, օր,THINGS - ABSTRACT
 death, մահ,THINGS - ABSTRACT
 debt, պարտք,THINGS - ABSTRACT
 decision, որոշում,THINGS - ABSTRACT
 degree, աստիճան,THINGS - ABSTRACT
 design, դիզայն,THINGS - ABSTRACT
 desire, ցանկություն,THINGS - ABSTRACT
 destruction, ոչնչացում,THINGS - ABSTRACT
 detail, մանրամասնություն,THINGS - ABSTRACT
 development, զարգացում,THINGS - ABSTRACT
 digestion, մարսողություն,THINGS - ABSTRACT
 direction, ուղղություն,THINGS - ABSTRACT
 discovery, բացահայտում,THINGS - ABSTRACT
 discussion, քննարկում,THINGS - ABSTRACT
 disease, հիվանդություն,THINGS - ABSTRACT
 disgust, զզվանք,THINGS - ABSTRACT
 distance, հեռավորություն,THINGS - ABSTRACT
 distribution, բաշխում,THINGS - ABSTRACT
 division, բաժանում,THINGS - ABSTRACT
 doubt, կասկած,THINGS - ABSTRACT
 drink, խմել,THINGS - ABSTRACT
 driving, քշել,THINGS - ABSTRACT
 dust, փոշի,THINGS - ABSTRACT
 earth, երկիր,THINGS - ABSTRACT
 echo, արձագանք,THINGS - ABSTRACT
 edge, եզր,THINGS - ABSTRACT
 education, կրթություն,THINGS - ABSTRACT
 effect, ազդեցություն,THINGS - ABSTRACT
 end, վերջ,THINGS - ABSTRACT
 error, սխալ,THINGS - ABSTRACT
 event, իրադարձություն,THINGS - ABSTRACT
 example, օրինակ,THINGS - ABSTRACT
 exchange, փոխանակում,THINGS - ABSTRACT
 existence, գոյություն,THINGS - ABSTRACT
 expansion, ընդլայնում,THINGS - ABSTRACT
 experience, փորձ,THINGS - ABSTRACT
 expert, փորձագետ,THINGS - ABSTRACT
 fact, փաստ,THINGS - ABSTRACT
 fall, ընկնել,THINGS - ABSTRACT
 family, ընտանիք,THINGS - ABSTRACT
 father, հայր,THINGS - ABSTRACT
 fear, վախ,THINGS - ABSTRACT
 feeling, զգացում,THINGS - ABSTRACT
 fiction, հորինվածք,THINGS - ABSTRACT
 field, դաշտ,THINGS - ABSTRACT
 fight, պայքար,THINGS - ABSTRACT
 fire, կրակ,THINGS - ABSTRACT
 flame, բոց,THINGS - ABSTRACT
 flight, թռիչք,THINGS - ABSTRACT
 flower, ծաղիկ,THINGS - ABSTRACT
 fold, ծալել,THINGS - ABSTRACT
 food, սնունդ,THINGS - ABSTRACT
 force, ուժ,THINGS - ABSTRACT
 form, ձև,THINGS - ABSTRACT
 friend, ընկեր,THINGS - ABSTRACT
 front, դիմաց,THINGS - ABSTRACT
 fruit, միրգ,THINGS - ABSTRACT
 glass, ապակի,THINGS - ABSTRACT
 gold, ոսկի,THINGS - ABSTRACT
 government, կառավարություն,THINGS - ABSTRACT
 grain, հացահատիկ,THINGS - ABSTRACT
 grass, խոտ,THINGS - ABSTRACT
 grip, բռնել,THINGS - ABSTRACT
 group, խումբ,THINGS - ABSTRACT
 growth, աճ,THINGS - ABSTRACT
 guide, ուղեցույց,THINGS - ABSTRACT
 harbor, նավահանգիստ,THINGS - ABSTRACT
 harmony, ներդաշնակություն,THINGS - ABSTRACT
 hate, ատելություն,THINGS - ABSTRACT
 hearing, լսողություն,THINGS - ABSTRACT
 heat, ջերմություն,THINGS - ABSTRACT
 help, օգնություն,THINGS - ABSTRACT
 history, պատմություն,THINGS - ABSTRACT
 hole, անցք,THINGS - ABSTRACT
 hope, հույս,THINGS - ABSTRACT
 hour, ժամ,THINGS - ABSTRACT
 humor, հումոր,THINGS - ABSTRACT
 ice, սառույց,THINGS - ABSTRACT
 idea, գաղափար,THINGS - ABSTRACT
 impulse, ազդակ,THINGS - ABSTRACT
 increase, աճ,THINGS - ABSTRACT
 industry, արդյունաբերություն,THINGS - ABSTRACT
 ink, թանաք,THINGS - ABSTRACT
 insect, միջատ,THINGS - ABSTRACT
 instrument, գործիք,THINGS - ABSTRACT
 insurance, ապահովագրություն,THINGS - ABSTRACT
 interest, հետաքրքրություն,THINGS - ABSTRACT
 invention, գյուտ,THINGS - ABSTRACT
 iron, երկաթ,THINGS - ABSTRACT
 jelly, ժելե,THINGS - ABSTRACT
 join, միանալ,THINGS - ABSTRACT
 journey, ճանապարհորդել,THINGS - ABSTRACT
 judge, դատել,THINGS - ABSTRACT
 jump, ցատկել,THINGS - ABSTRACT
 kick, հարվածել,THINGS - ABSTRACT
 kiss, համբույր,THINGS - ABSTRACT
 knowledge, գիտելիք,THINGS - ABSTRACT
 land, հող,THINGS - ABSTRACT
 language, լեզու,THINGS - ABSTRACT
 laugh, ծիծաղել,THINGS - ABSTRACT
 law, օրենք,THINGS - ABSTRACT
 lead, կապար,THINGS - ABSTRACT
 learning, սովորել,THINGS - ABSTRACT
 leather, կաշի,THINGS - ABSTRACT
 letter, տառ,THINGS - ABSTRACT
 level, մակարդակ,THINGS - ABSTRACT
 lift, բարձրացնել,THINGS - ABSTRACT
 light, լույս,THINGS - ABSTRACT
 limit, սահման,THINGS - ABSTRACT
 linen, սպիտակեղեն,THINGS - ABSTRACT
 liquid, հեղուկ,THINGS - ABSTRACT
 list, ցուցակ,THINGS - ABSTRACT
 look, նայել,THINGS - ABSTRACT
 loss, կորուստ,THINGS - ABSTRACT
 love, սեր,THINGS - ABSTRACT
 machine, մեքենա,THINGS - ABSTRACT
 man, մարդ,THINGS - ABSTRACT
 manager, մենեջեր,THINGS - ABSTRACT
 mark, նշել,THINGS - ABSTRACT
 market, շուկա,THINGS - ABSTRACT
 mass, զանգված,THINGS - ABSTRACT
 meal, ուտելիք,THINGS - ABSTRACT
 meaning, իմաստ,THINGS - ABSTRACT
 measure, չափել,THINGS - ABSTRACT
 meat, միս,THINGS - ABSTRACT
 meeting, հանդիպում,THINGS - ABSTRACT
 memory, հիշողություն,THINGS - ABSTRACT
 metal, մետաղ,THINGS - ABSTRACT
 middle, մեջտեղ,THINGS - ABSTRACT
 milk, կաթ,THINGS - ABSTRACT
 mind, միտք,THINGS - ABSTRACT
 mine, իմ,THINGS - ABSTRACT
 minute, րոպե,THINGS - ABSTRACT
 mist, մշուշ,THINGS - ABSTRACT
 money, փող,THINGS - ABSTRACT
 month, ամիս,THINGS - ABSTRACT
 morning , առավոտ,THINGS - ABSTRACT
 mother, մայր,THINGS - ABSTRACT
 motion, շարժում,THINGS - ABSTRACT
 mountain, սար,THINGS - ABSTRACT
 move, շարժվել,THINGS - ABSTRACT
 music, երաժշտություն,THINGS - ABSTRACT
 name, անուն,THINGS - ABSTRACT
 nation, ազգ,THINGS - ABSTRACT
 need, կարիք,THINGS - ABSTRACT
 news, նորություններ,THINGS - ABSTRACT
 night, գիշեր,THINGS - ABSTRACT
 noise, աղմուկ,THINGS - ABSTRACT
 note, նշում,THINGS - ABSTRACT
 number, թիվ,THINGS - ABSTRACT
 observation, դիտում,THINGS - ABSTRACT
 offer, առաջարկ,THINGS - ABSTRACT
 oil, յուղ,THINGS - ABSTRACT
 operation, գործողություն,THINGS - ABSTRACT
 opinion, կարծիք,THINGS - ABSTRACT
 order, կարգ,THINGS - ABSTRACT
 organization, կազմակերպություն,THINGS - ABSTRACT
 ornament, զարդարանք,THINGS - ABSTRACT
 owner, սեփականատեր,THINGS - ABSTRACT
 page, էջ,THINGS - ABSTRACT
 pain, ցավ,THINGS - ABSTRACT
 paint, ներկ,THINGS - ABSTRACT
 paper, թուղթ,THINGS - ABSTRACT
 part, մաս,THINGS - ABSTRACT
 paste, մածուկ,THINGS - ABSTRACT
 payment, վճարում,THINGS - ABSTRACT
 peace, խաղաղություն,THINGS - ABSTRACT
 person, անձ,THINGS - ABSTRACT
 place, տեղ,THINGS - ABSTRACT
 plant, բույս,THINGS - ABSTRACT
 play, խաղ,THINGS - ABSTRACT
 pleasure, հաճույք,THINGS - ABSTRACT
 point, կետ,THINGS - ABSTRACT
 poison, թույն,THINGS - ABSTRACT
 polish, լաք,THINGS - ABSTRACT
 porter, բեռնակիր,THINGS - ABSTRACT
 position, դիրք,THINGS - ABSTRACT
 powder, փոշի,THINGS - ABSTRACT
 power, ուժ,THINGS - ABSTRACT
 price, գին ,THINGS - ABSTRACT
 print, տպել,THINGS - ABSTRACT
 process, մշակել,THINGS - ABSTRACT
 produce, արտադրել,THINGS - ABSTRACT
 profit, շահույթ,THINGS - ABSTRACT
 property, ունեցվածք,THINGS - ABSTRACT
 protest, բողոք,THINGS - ABSTRACT
 pull, քաշել,THINGS - ABSTRACT
 punishment, պատիժ,THINGS - ABSTRACT
 purpose, նպատակ,THINGS - ABSTRACT
 push, սեղմել,THINGS - ABSTRACT
 quality, որակ,THINGS - ABSTRACT
 question, հարց,THINGS - ABSTRACT
 rain, անձրև,THINGS - ABSTRACT
 range, միջակայք,THINGS - ABSTRACT
 ray, ճառագայթ,THINGS - ABSTRACT
 reaction, ռեակցիա,THINGS - ABSTRACT
 read, կարդալ,THINGS - ABSTRACT
 reason, պատճառ,THINGS - ABSTRACT
 record, գրառել,THINGS - ABSTRACT
 regret, ափսոսալ,THINGS - ABSTRACT
 relation, հարաբերություն,THINGS - ABSTRACT
 religion, կրոն,THINGS - ABSTRACT
 representative, ներկայացուցիչ ,THINGS - ABSTRACT
 request, խնդրանք,THINGS - ABSTRACT
 respect, հարգանք,THINGS - ABSTRACT
 rest, հանգիստ,THINGS - ABSTRACT
 reward, պարգև,THINGS - ABSTRACT
 rhythm, ռիթմ,THINGS - ABSTRACT
 rice, բրինձ,THINGS - ABSTRACT
 river, գետ,THINGS - ABSTRACT
 road, ճանապարհ,THINGS - ABSTRACT
 roll, գլորել,THINGS - ABSTRACT
 room, սենյակ,THINGS - ABSTRACT
 rub, քսել,THINGS - ABSTRACT
 rule, կանոն,THINGS - ABSTRACT
 run, վազել,THINGS - ABSTRACT
 salt, աղ,THINGS - ABSTRACT
 sand, ավազ,THINGS - ABSTRACT
 scale, մասշտաբ,THINGS - ABSTRACT
 science, գիտություն,THINGS - ABSTRACT
 sea, ծով,THINGS - ABSTRACT
 seat, նստատեղ,THINGS - ABSTRACT
 secretary, քարտուղար,THINGS - ABSTRACT
 selection, ընտրություն,THINGS - ABSTRACT
 self, ես,THINGS - ABSTRACT
 sense, զգացում,THINGS - ABSTRACT
 servant, ծառա,THINGS - ABSTRACT
 sex, սեռ ,THINGS - ABSTRACT
 shade, ստվեր,THINGS - ABSTRACT
 shake, ցնցում,THINGS - ABSTRACT
 shame, ամոթ,THINGS - ABSTRACT
 shock, ցնցում,THINGS - ABSTRACT
 side, կողմ,THINGS - ABSTRACT
 sign, նշան,THINGS - ABSTRACT
 silk, մետաքս,THINGS - ABSTRACT
 silver, արծաթ,THINGS - ABSTRACT
 sister, քույր,THINGS - ABSTRACT
 size, չափ,THINGS - ABSTRACT
 sky, երկինք,THINGS - ABSTRACT
 sleep, քուն,THINGS - ABSTRACT
 slip, սայթաքել,THINGS - ABSTRACT
 slope, թեքություն,THINGS - ABSTRACT
 smash, կոտրվածք,THINGS - ABSTRACT
 smell, հոտ,THINGS - ABSTRACT
 smile, ժպիտ,THINGS - ABSTRACT
 smoke, ծուխ,THINGS - ABSTRACT
 sneeze, փռշտոց,THINGS - ABSTRACT
 snow, ձյուն,THINGS - ABSTRACT
 soap, օճառ,THINGS - ABSTRACT
 society, հասարակություն,THINGS - ABSTRACT
 son, որդի,THINGS - ABSTRACT
 song, երգ,THINGS - ABSTRACT
 sort, տեսակ ,THINGS - ABSTRACT
 sound, ձայն,THINGS - ABSTRACT
 soup, ապուր,THINGS - ABSTRACT
 space, տարածություն,THINGS - ABSTRACT
 speed, արագություն,THINGS - ABSTRACT
 stage, փուլ,THINGS - ABSTRACT
 start, սկիզբ,THINGS - ABSTRACT
 statement, հայտարարություն,THINGS - ABSTRACT
 steam, գոլորշի,THINGS - ABSTRACT
 steel, պողպատ,THINGS - ABSTRACT
 step, քայլ,THINGS - ABSTRACT
 stitch, կար,THINGS - ABSTRACT
 stone, քար,THINGS - ABSTRACT
 stop, կանգնել,THINGS - ABSTRACT
 story, պատմություն,THINGS - ABSTRACT
 stretch, ձգել,THINGS - ABSTRACT
 structure, կառույց,THINGS - ABSTRACT
 substance, նյութ,THINGS - ABSTRACT
 sugar, շաքար,THINGS - ABSTRACT
 suggestion, առաջարկ,THINGS - ABSTRACT
 summer, ամառ,THINGS - ABSTRACT
 support, աջակցություն,THINGS - ABSTRACT
 surprise, անակնկալ,THINGS - ABSTRACT
 swim, լողալ,THINGS - ABSTRACT
 system, համակարգ,THINGS - ABSTRACT
 talk, խոսել,THINGS - ABSTRACT
 taste, համ ,THINGS - ABSTRACT
 tax, հարկ,THINGS - ABSTRACT
 teaching, ուսուցում,THINGS - ABSTRACT
 tendency, միտում,THINGS - ABSTRACT
 test, ստուգել,THINGS - ABSTRACT
 theory, տեսություն,THINGS - ABSTRACT
 thing, բան,THINGS - ABSTRACT
 thought, միտք,THINGS - ABSTRACT
 thunder, որոտ,THINGS - ABSTRACT
 time, ժամանակ,THINGS - ABSTRACT
 tin, անագ,THINGS - ABSTRACT
 top, վերև,THINGS - ABSTRACT
 touch, կպնել,THINGS - ABSTRACT
 trade, առևտուր,THINGS - ABSTRACT
 transport, տրանսպորտ,THINGS - ABSTRACT
 trick, հնարք,THINGS - ABSTRACT
 trouble, փորձանք,THINGS - ABSTRACT
 turn, շրջել,THINGS - ABSTRACT
 turn off, անջատել,THINGS - ABSTRACT
 turn on, միացնել,THINGS - ABSTRACT
 twist, ոլորել,THINGS - ABSTRACT
 unit, միավոր,THINGS - ABSTRACT
 use, օգտագործել,THINGS - ABSTRACT
 value, արժեք,THINGS - ABSTRACT
 verse, չափածո,THINGS - ABSTRACT
 vessel, անոթ,THINGS - ABSTRACT
 view, տեսակետ,THINGS - ABSTRACT
 voice, ձայն ,THINGS - ABSTRACT
 walk, քայլել,THINGS - ABSTRACT
 war, պատերազմ,THINGS - ABSTRACT
 wash, լվանալ,THINGS - ABSTRACT
 waste, թափոններ,THINGS - ABSTRACT
 water, ջուր,THINGS - ABSTRACT
 wave, ալիք,THINGS - ABSTRACT
 wax, մոմ,THINGS - ABSTRACT
 way, ձև,THINGS - ABSTRACT
 weather, եղանակ,THINGS - ABSTRACT
 week, շաբաթ,THINGS - ABSTRACT
 weight, քաշ,THINGS - ABSTRACT
 wind, քամի,THINGS - ABSTRACT
 wine, գինի,THINGS - ABSTRACT
 winter, ձմեռ,THINGS - ABSTRACT
 woman, կին,THINGS - ABSTRACT
 wood, փայտ,THINGS - ABSTRACT
 wool, բուրդ,THINGS - ABSTRACT
 word, բառ,THINGS - ABSTRACT
 work, աշխատանք,THINGS - ABSTRACT
 wound, վերք,THINGS - ABSTRACT
 writing , գիր,THINGS - ABSTRACT
 year, տարի,THINGS - ABSTRACT
 able,ունակ,QUALITIES
 acid, թթու,QUALITIES
 angry, զայրացած,QUALITIES
 automatic, ավտոմատ,QUALITIES
 beautiful, գեղեցիկ,QUALITIES
 black, սև,QUALITIES
 boiling, եռացող,QUALITIES
 bright, պայծառ,QUALITIES
 broken, կոտրված,QUALITIES
 brown, շագանակագույն,QUALITIES
 cheap, էժան,QUALITIES
 chemical, քիմիական,QUALITIES
 chief, գլխավոր,QUALITIES
 clean, մաքուր,QUALITIES
 clear, պարզ,QUALITIES
 common, ընդհանուր,QUALITIES
 complex, բարդ,QUALITIES
 conscious, գիտակից,QUALITIES
 cut, կտրված,QUALITIES
 deep, խոր,QUALITIES
 dependent, կախված,QUALITIES
 early, վաղ,QUALITIES
 elastic, ճկուն,QUALITIES
 electric, էլեկտրական,QUALITIES
 equal, հավասար,QUALITIES
 fat, ճարպ,QUALITIES
 fertile, բերրի,QUALITIES
