ENGLISH,ARMENIAN,ROMANIZED
all,բոլորը,boloruh
any,ցանկացած,ts'ankats'ats
every,ամեն,amen
little,քիչ,k'ich
very,շատ,shat
not,ոչ,voch
other,այլ,ayl
such,այդպիսի,aydpisi
that,որ,vor
this,սա,sa
he,նա,na
you,դու,du
who,ով,vov
and,և,yev
because,որովհետեւ,vorovhete
but,բայց,bayts'
or,կամ,kam
if,եթե,yet'e
though,չնայած,chnayats
while,մինչդեռ,minchderr
when,երբ,yerb
where,որտեղ,vortegh
why,ինչու,inchu
again,նորից,norits'
ever,երբևէ,yerbeve
far,հեռու,herru
forward,առաջ,arraj
here,այստեղ,aystegh
near,մոտակայքում,motakayk'um
now,հիմա,hima
out,դուրս,durs
still,դեռ,derr
then,ապա,apa
there,այնտեղ,ayntegh
together,միասին,miasin
almost,գրեթե,gret'e
enough,բավական,bavakan
even,նույնիսկ,nuynisk
only,միայն,miayn
quite,բավականին,bavakanin
so,այսպիսով,ayspisov
tomorrow,վաղը,vaghuh
yesterday,երեկ,yerek
north,հյուսիս,hyusis
south,հարավ,harav
east,արևելք,arevelk'
west,արևմուտք,arevmutk'
please,խնդրեմ,khndrem
yes,այո,ayo
